address,classification,details,fone,link,name,position,link_problem,has_instagram,has_facebook,facebook_link,instagram_link
"Rua 238, 165 - Sala 07","4,3",Médico, (47) 98850-5003 · ,https://www.facebook.com/Cl%C3%ADnica-Meia-Praia-105878931019944/,Clínica Meia Praia,42,,True,True,https://web.facebook.com/Clínica-Meia-Praia-105878931019944/posts,
"R. 234, 95","4,4",Pediatra, (47) 3268-2614 · ,http://joanadarcclinica.com.br/,Clínica Médica Joana D'Arc,44,,False,False,,
,"4,4",Psiquiatra, (47) 3268-4541 · ,,Dra. Vanessa C. Zanato (Psiquiatra),45,,,,,
"R. 234, nº 425","5,0",Clínica de Fisioterapia, (47) 3368-2656 · ,https://fisioterapia-fabricio-fontana.negocio.site/?m=true,Osteopatia Itapema,47,,False,False,,
"Av. Nereu Ramos, 3875","2,3",Dentista, (47) 3361-6369 · ,https://populina.com.br/,populina clinica dentistas,48,True,,,,
"Rua 406 E nº451, sala 01","5,0",Clínica odontológica, (47) 3344-0110 · ,https://dentistaitapema.com.br/,Dentista Itapema - Dra. Tatiane Russo,49,True,,,,
"R. 418, 330","5,0",Laboratório médico, (47) 99160-2319 · ,http://www.isabellab.com.br/,IsabelLab- Laboratório de Análises Clínicas,50,,False,True,,
"R. 256, 330","4,9",Clínica de Endoscopia, (47) 3345-8096 · ,http://www.endovicci.com.br/,ENDOVICCI Clínica de Endoscopia e Cirurgia,51,True,,,,
"Av. Nereu Ramos, n° 900","5,0",Psicólogo, (47) 3063-0023 · ,http://www.psicologaitapema.blogspot.com/,Psicóloga Adriana de Souza Vicentin,52,,False,True,https://www.blogger.com/share-post.g?blogID=5454060741159271054&postID=7368247538351958106&target=facebook,
"R. 262, 240","3,0",Clínica de Fisioterapia, (47) 3398-0373 · ,,Luana Baron,53,,,,,
"Rua 412 A, 340 sala:04 05 esquina com 426","5,0",Clínica odontológica, (47) 3366-5063 · ,,Odontto+ Morretes,54,,,,,
"R. 268, 265 - sala 10","5,0",Clínica especializada, (47) 3268-5522 · ,,Clinica Bem Estar,55,,,,,
"rua 248, 707, edificio Pienza","4,5",Clínica odontológica, (47) 99168-4135 · ,,CECOM Costa Esmeralda Clinica Odontológica e Médica,56,,,,,
"R. Duzentos e Vinte e Seis, 287 - Sala 01","3,0",Cardiologista, (47) 3363-4401 · ,http://www.cardiolifeclinica.com.br/,Cardio Life Clínica Cardiológica,57,,True,True,https://www.facebook.com/cardiolifeclinica,https://www.instagram.com/p/CERgVqfDhPh/
"R. 418, 330 - Sala 1","4,4",Laboratório médico, (47) 3363-3992 · ,http://www.isabellab.com.br/,IsabelLab- Laboratório de Análises Clínicas,58,,False,True,,
R. 205,"3,0",Médico, (47) 99147-1909 · ,,Clínica NK - Nathan Klein,59,,,,,
"Av. Nereu Ramos, 1164","5,0",Dentista, (47) 3268-4521 · ,,ODONTOLOGIA,60,,,,,
"Av. Nereu Ramos, 3333 - Sala 3","5,0",Clínica odontológica, (47) 3393-6375 · ,https://www.facebook.com/Dra.ClaudiaSuchini,Clínica Dental Dra. Claudia Suchini,61,,True,True,https://web.facebook.com/Dra.ClaudiaSuchini/services,
"R. 246, numero 371 - sala 02",,Clínica odontológica, (47) 3360-7118 · ,,Kliin Odontologia Especializada,62,,,,,
"R. 416, 78","5,0",Clínica odontológica, (47) 3368-3338 · ,http://www.dellantonioodontologia.com.br/,Dell Antonio Odontologia Integrada,63,,True,True,https://www.facebook.com/DELLANTONIOODONTOLOGIA/,https://www.instagram.com/dellantonioodontologia/
"R. 248, 273 - sala 10","4,4",Clínica odontológica, (47) 3368-0019 · ,http://www.happyodontologia.com.br/,Happy Odontologia,65,True,,,,
"Rua 601, S/N","4,0",Posto de saúde comunitário, (47) 3267-1563 · ,https://www.itapema.sc.gov.br/,UBS - Tabuleiro,67,True,,,,
"R. 248, 199 - 4","5,0",Clínica odontológica, (47) 3363-6664 · ,http://www.grimaldiodontologia.com.br/,José Nelson Grimaldi Odontologia,68,True,,,,
"R. 256, 127","5,0",Policlínica, (47) 3268-4541 · ,http://www.vitapemasaude.com.br/,Vitapema - Centro Odonto-Médico,69,,True,True,https://www.facebook.com,https://www.instagram.com
"Av. Nereu Ramos, 1345","4,8",Veterinário, (47) 3368-4297 · ,,Clínica Veterinária Estrela Do Mar,70,,,,,
"Atahualpa - Rua 236, 61 - 2","5,0",Clínica odontológica, (47) 3368-7719 · ,,Odontologia,71,,,,,
"R. 254, 117","4,0",Clínica odontológica, (47) 3368-4010 · ,http://meisterodontologia.com.br/,Meister Odontologia,72,True,,,,
"2ª Avenida, 529 - 02","3,7",Clínica de Fisioterapia, (47) 99944-4763 · ,http://fisioadrianaferreira.com.br/,Dra. Adriana Ferreira,73,True,,,,
"R. 216, 107","5,0",Clínica odontológica, (47) 99178-6476 · ,http://clinicamitre.com.br/,Clínica Mitre,74,,True,True,,https://www.instagram.com/clinicamitre/
R. 252,"5,0",Clínica odontológica, (47) 3366-5063 · ,http://www.redeorto.com.br/,Clinica Redeorto Itapema,75,,True,True,https://pt-br.facebook.com/REDEORTOOFICIAL/,https://www.instagram.com/redeorto/?hl=pt
"Av. Nereu Ramos, 4016","5,0",Clínica odontológica, (47) 3264-0670 · ,https://www.facebook.com/OdontologiaIntegradaRenove/?__xts__[0]=68.ARAzfPywxonQHjOKd_j72jyw_65y7OvaEYX9B6PiUL_T41oYLXX2nJnxWShRkrxYgPnk-jRhXoiSQQ1jKI8O7R70HY1bpim4B2BxoEMy_vNAndzJfgPbnZFtKb3Lz8li9jHBijwjKh5OkpTiutnpFQpW-ICc7XGBuJuB3x-v6MXp7ZPxY0epNWP-A-Ocf7cMp_0yjPFDHYMaiqJ1TFNM2iNVRhC0YAYCWfIGN1jMK3KZl_Dk1kkkH_2gIWEFq53qSvRCP7R89CGS8o4,Renove Odontologia Integrada,76,,True,True,https://web.facebook.com/OdontologiaIntegradaRenove/posts,
"R. 232, nº287","5,0",Dentista, (47) 3368-5503 · ,https://saorafaelitapema.com.br/,Clínica São Rafael,77,True,,,,
"R. 272, 275 - Sala 8","5,0",Dentista, (47) 3267-1851 · ,http://www.odonttoclinica.com.br/,Odontto Clínica,78,True,,,,
"R. 246, 246 - Sala 501","5,0",Clínica especializada, (47) 3366-7285 · ,https://marina-bordignon-clinica-pediatrica.negocio.site/?utm_source=gmb&utm_medium=referral,Marina Bordignon Clínica Pediátrica,79,,False,False,,
"entrada pela - Av.Nereu Ramos, Rua 271, 4835","3,0",Clínica odontológica, (47) 3517-0237 · ,https://clinica-sorrivem.negocio.site/?utm_source=gmb&utm_medium=referral,Clinica Odontológica SorriVem,80,,False,False,,
"R. 248, Número 273 - Sala 06","5,0",Clínica de dermatologia, (47) 99105-7167 · ,http://www.clinicavitapelle.com/,Vita Pelle - Estética & Saúde,81,True,,,,
"R. 282, 70","4,8",Clínica odontológica, (47) 3264-1111 · ,http://oralunicitapema.com.br/,Clínica Oral Unic Itapema,82,,True,True,https://www.facebook.com/oralunicitapema/,https://www.instagram.com/oralunicitapema/
"Avenida Nereu Ramos número 5282, Sala 9, frente para rua 304 Edifício Le Lis Blanc","5,0",Clínica especializada, (47) 99174-0348 · ,http://www.clinicapalova.com.br/,Palova Estética Itapema,83,,False,False,,
"Rua Nereu Ramos, 4142 - 36","5,0",Clínica de saúde mental, (47) 99910-1999 · ,,Renascer,84,,,,,
R. 276,"5,0",Clínica de acupuntura, (48) 99190-9025 · ,https://www.facebook.com/lazhenacupuntura/,LAZHEN Acupuntura,95,,True,True,https://web.facebook.com/lazhenacupuntura/services,
"R. 412 A, 490 - esquina rua 430","5,0",Dentista, (47) 3366-5063 · ,,Clínica Popuriso,96,,,,,
"R. 406 E, Nº 596 - 01","5,0",Dentista, (47) 3248-3067 · ,http://www.odonttoclinica.com.br/,Odontto Clínica,97,True,,,,
"Clínica La Vie - R. 234, 425","5,0",Clínica de Fisioterapia, (47) 3368-2656 · ,https://fisioterapia-fabricio-fontana.negocio.site/?utm_source=gmb&utm_medium=referral,Fisioterapia Fabrício Fontana,98,,False,False,,
"R. 216, 50","5,0",Clínica de cirurgia plástica, (47) 3368-9438 · ,,Revitalit Clínica de Medicina Estética,99,,,,,
"R. 250, Nº 335","5,0",Clínica especializada, (47) 99984-2226 · ,http://www.bellafisio.com.br/,"Bella Fisio - Clínica de Estética, Fisioterapia e Pilates",101,,True,True,https://www.facebook.com/bellafisioitapema/,https://instagram.com/bellafisioitapema/
"Rua 246, n. 225 - Sala 2. Ed. Le Prestige","5,0",Clínica odontológica, (47) 3360-7437 · ,http://lentesdecontatodental.com/,EXCLUSIVE LENTES DE CONTATO DENTAL,102,,True,True,https://facebook.com/exclusivelentesdecontatodental,https://instagram.com/?hl=pt-br
"2ª Avenida, esquina Rua 254 A, nº 10","5,0",Cirurgião dentista, (47) 99911-2782 · ,http://www.harmonyitapema.com.br/,Harmony Odontologia Itapema | Implantes Dentários | Lentes de Contato | Odontopediatria,103,,True,True,https://www.facebook.com/harmonyitapema,https://www.instagram.com/harmonyitapema/
"Av. Nereu Ramos, 4077 - Sala 601","5,0",Clínica especializada, (47) 99191-1825 · ,https://www.instagram.com/florespriscylla/,PRISCYLLA S FLORES | Clínica Estética,104,,True,False,,
"Av. Nereu Ramos, 3294","2,0",Laboratório médico, (47) 3368-0756 · ,http://www.laboratorioglauco.com.br/,Laboratório Glauco,105,True,,,,
"R. 268, 428","5,0",Psicólogo, (47) 98435-0004 · ,,Diálogos Clínica de Psicologia,107,,,,,
"Edifício Donatello - Rua 288, nº 354 - Sala 01","5,0",Médico, (47) 3267-0399 · ,https://www.facebook.com/dr.gustavopazian/,Clínica Médica CMP - Especialidades,108,,True,True,https://web.facebook.com/help/cookies?ref_type=sitefooter,
"Av. Nereu Ramos, 2861","5,0",Hospital, (47) 3366-6277 · ,http://www.vidamed-sc.com.br/localizacao,Clinica vidamed,109,,False,False,,
"R. 246, 225 - Sala 02","5,0",Clínica odontológica, (47) 3360-7437 · ,https://www.facebook.com/exclusivelentesdecontatodental/,Exclusive Lentes de Contato Dental,110,,True,True,https://web.facebook.com/help/cookies?ref_type=sitefooter,
"R. 426, 61","5,0",Veterinário, (47) 99703-4038 · ,http://bit.ly/clinicpet,Clinic Pet Clínica Veterinária,111,,True,True,https://www.facebook.com/WhatsApp,
"R. 278, nº 292 - Sala 5","5,0",Clínica ortopédica, (47) 3515-1258 · ,https://www.instagram.com/clinica.osteon/,Osteon Ortopedia Traumatologia e Fisioterapia,112,,True,False,,
"R. 298, 228","5,0",Cirurgião vascular, (47) 3517-0861 · ,http://doutorharoldo.com.br/,HAO Clínica Dr. Haroldo Andrade Oliveira,113,True,,,,
"Rua 236, 314","4,0",Centro de diagnósticos, (47) 3028-3001 · ,http://www.grupoghanem.com.br/,Ghanem,114,,True,True,https://www.facebook.com/pages/Ghanem-Laborat%C3%B3rio-Cl%C3%ADnico/129506843783657,https://instagram.com/ghanemlaboratorio/
"Rua 236, nº 309 - salas 01/02","2,7",Clínica odontológica, (47) 3366-0060 · ,https://oralsin.com.br/,Oral Sin Implantes,115,,True,True,https://www.facebook.com/oralsinimplantesbr/,https://www.instagram.com/oralsinimplantes/
"Rua 288, 354 - Sala 01","5,0",Grupo médico, (47) 3514-4458 · ,,Clínica CMP - Medicina Integrativa,116,,,,,
"Ed. Embaixador - R. 252, 107 - Sala 4","5,0",Clínica odontológica, (47) 3368-5297 · ,,"Luanna Porto | Saúde, Estética e Reabilitação Oral",117,,,,,
"R. 246, 125 - SALA 08","5,0",Médico, (47) 3248-3067 · ,,AudioSom Clínica e Aparelhos Auditivos,118,,,,,
"Av. Nereu Ramos, 5282","5,0",Consultório médico, (47) 3367-6323 · ,,Mandelli Clínica Integrada,119,,,,,
"R. 272, 128","5,0",Clínica de Fisioterapia, (47) 3368-9438 · ,,FISIOCORPUS,120,,,,,
"rua 274 n, 163","5,0",Clínica especializada, (47) 3268-4574 · ,,estetica michela morosini,121,,,,,
"R. 248, 137 - 01","5,0",Clínica odontológica, (47) 3268-2947 · ,,Jovanella Odontologia,122,,,,,
"Rua Trezentos e Sete, 25 - sala 501","5,0",Clínica de acupuntura, (47) 99153-6013 · ,http://www.sakaiterpias.com/,Sakai Terapias Orientais,124,True,,,,
"R. 254, n° 330","4,4",Serviço veterinário de emergência, (47) 99958-9523 · ,https://animalclinicitapema.negocio.site/,Animal Clinic Itapema - Emergência 24 Horas (Clínica Veterinária e Pet Shop),125,,False,False,,
"Av. Nereu Ramos, 4776 - Sala 28","4,5",Clínica de cirurgia plástica, (47) 3368-2614 · ,http://www.essencialeestetica.com.br/,Essenciale Estética Itapema,126,,True,False,,https://www.instagram.com/essenciale/
"R. Augusto Paulo Durkop, 470","5,0",Centro médico, (48) 3265-5196 · ,/aclk?sa=l&ai=DChcSEwj7s_fUttjrAhUEBJEKHezpDr0YABABGgJjZQ&sig=AOD64_0C7dWQ1dIjuYuGOolY46WPeI-jQw&adurl&q&ctype=99,Clinisom - Clínica Médica e Diagnóstico por Imagem,128,True,,,,
"Rua 252, 486 Esquina com, 3ª Avenida","5,0",Laboratório médico, (47) 3368-5568 · ,http://www.wglab.com.br/,Laboratório Wagner,129,True,,,,
"R. 295, n. 138 - 201","5,0",Terapeuta, (47) 98487-8186 · ,,Parapsicologia Clínica Surama Naves,130,,,,,
"Edifício Chatêau Unique - Rua Trezentos e Sete, 25 - sala 605","5,0",Clínica especializada, (47) 99925-2045 · ,,Glam Clínica de Estética,131,,,,,
"Rua Setecentos, 679","3,6",Hospital Público, (47) 3268-5986 · ,http://ideas.med.br/,Hospital Municipal Santo Antônio,132,,False,True,https://www.facebook.com/ideas.saude/,
"R. 266, nº 188","3,7",Loja de costura, (47) 3398-2135 · ,http://www.clinicadaroupa.com.br/,Clínica da Roupa Itapema,133,,True,True,https://www.facebook.com/pg/clinicadaroupatubarao/,https://www.instagram.com/clinicadaroupatubarao/
"Ed New Palace - R. 250, 493 - Sala 1,2","3,5",Laboratório médico, (47) 3368-0327 · ,http://centraldeexames.com.br/,Central de Exames,134,True,,,,
"88220-000, R. 227, 342-374","4,6",Massoterapeuta, (47) 99751-3249 · ,,Clínica de Massoterapia Paulo Coelho,135,,,,,
Av. Nereu Ramos,"4,0",Psicólogo, (47) 3028-3001 · ,https://www.doctoralia.com.br/adriana-de-souza-vicentin/psicologo/itapema?utm_source=google&utm_medium=gmb&utm_campaign=108419&utm_content=website,"Adriana de Souza Vicentin, Psicólogo",136,,True,True,https://www.facebook.com/doctoralia.br/,https://www.instagram.com/doctoralia_br/
"R. 234, 242","5,0",Acupunturista, (47) 99783-3555 · ,https://curaemcasa.com.br/acupuntura-itapema/,Acupuntura Itapema - Letícia Lucas - Cura em Casa,137,True,,,,
"Rua 306, 600","5,0",Psicólogo, (47) 99962-5026 · ,,"Clínica de Psicologia Kateusa Cruz- Psicologia Sistemica, Organizacional, Orientação Profissional e do Esporte. Atendimento: Casais, individual, familiar, grupos, equipes, crianças.",138,,,,,
Clínica Médica La Vie Rua: 234 - nº 425 - Meia Praia - 47 999328077,"5,0",Psicólogo, (47) 99932-8077 · ,,Caroline Corrêa - Psicóloga e Psicopedagoga,139,,,,,
"N° 287 - Ed. Isabella Rua 232, sala 01","5,0",Dentista, (47) 3368-5470 · ,,DENTISTA - Dra Walkiria E. B. Oliveira / Dr Eduardo L. Oliveira,140,,,,,
"Segunda Avenida, 1661 esquina com a rua 300","5,0",Veterinário, (47) 99933-4251 · ,http://bichodapraia.com.br/,Clínica Veterinária Bicho da Praia,141,True,,,,
"Rua 238, N. 165 - sala 10","5,0",Médico, (47) 3368-5595 · ,https://saude.medprev.online/itapema/,Med Prev Itapema,142,,True,True,clkn/https/www.facebook.com/medprevitapema,clkn/https/www.instagram.com/medprevitapema/
"Av. Nereu Ramos, 4848 (esquina Rua 286 - 1º, Andar) - Sala 15","5,0",Oftalmologista, (47) 3268-5670 · ,,Consultório Médico Oftalmológico Dra. Rosania Hermsdorff Ferreira,143,,,,,
R. 248 N.322 Ed. Babylon Executive Tower sala 402 4. Andar,"5,0",Psicólogo, (47) 99246-2499 · ,http://psicologacarolinec.wixsite.com/psicologia,Psicóloga Caroline Casagrande,144,,False,True,,
"Av Nereu Ramos, 4848 esq 286, sala 13","5,0",Psicólogo, (47) 99238-4288 · ,http://psicologaingridmilanezfernandes.com/,Psicóloga Ingrid Milanez Fernandes,145,,True,True,https://www.facebook.com/psicologaingridmilanezfernandes/,https://instagram.com/psicologa_ingrid_m_fernandes?igshid=ybvm2c0951ax
"R. 218, 25","5,0",Terapeuta, (47) 98836-9463 · ,,Tania Petermann - Naturopata,146,,,,,
"rua 430, num, 841","4,4",Serviço de restauração de móveis antigos, (47) 99132-7730 · ,https://clinica-do-movel.negocio.site/,clinica do movel,147,,False,False,,
"R. 290, n30 - sala 01","5,0",Dentista, (47) 3398-3291 · ,http://www.confiancceodontologia.com.br/,Confiancce Odontologia,148,True,,,,
"R. 224, 282","4,8",Veterinário, (47) 3368-5989 · ,http://www.clinicabichotravesso.com.br/,Clínica Veterinária Bicho Travesso,150,,False,True,https://www.facebook.com/clinicaveterinaria.bichotravesso,
"R. Duzentos e Vinte e Seis, 273","5,0",Serviço veterinário de emergência, (47) 99905-9171 · ,,Raio-x Veterinário Itapema - C.E.D Imagem - Clinica Espaço Animal,151,,,,,
"R. 239, 85","3,6",Psicólogo, (47) 98411-3959 · ,,Psicóloga Eliane Defreyn,153,,,,,
"R. 119 A, 79","4,8",Pet Shop, (47) 3361-5871 · ,https://www.facebook.com/meubichinhoestetica,Meu Bichinho Estética Animal - Pet Shop Itapema,154,,True,True,https://web.facebook.com/meubichinhoestetica/services,
"Av Nereu Ramos, 4848 esq 286 - sala 14","5,0",Psicólogo, (47) 99965-6701 · ,http://julourenco.com.br/,Juliana Lourenço Psicologa,155,,False,False,,
"R. 232, 287","5,0",Psicólogo, (47) 3368-5503 · ,http://psicologiaitapema.com.br/,Camilla Volpato,156,,False,True,https://www.facebook.com/volbro.camilla,
"R. 252, 484","5,0",Terapeuta, (47) 99277-9498 · ,,Jaqueline Freitas,158,,,,,
"R. 300, 15","5,0",, (47) 99932-8077 · ,,Humanitapema,160,,,,,
"corner with - Av Nereu Ramos, R. 205, 2800 - Sala 806","5,0",Fisioterapeuta, (47) 99996-7734 · ,http://johnmadureira.com.br/,John L Madureira,161,,True,True,https://www.facebook.com/johnmadureirapsi,https://www.instagram.com/johnmadureirapsi
"R. 278, 459","3,9",Centro de diagnósticos, (47) 3341-4400 · ,http://unimed.coop.br/litoral,Unimed Litoral,162,,True,True,https://pt-br.facebook.com/unimedlitoral/,https://www.instagram.com/unimedlitoral/
"Rua, Av. Francisco Severiano dos Santos, 20","5,0",Consultório médico, (47) 3369-8888 · ,http://www.centerclinicaportobelo.com.br/,Center Clínica e Laboratório Porto Belo,163,,True,True,https://web.facebook.com/CenterClinicaPortoBelo,https://www.instagram.com/center_clinicaportobelo/
"R. 234, Numero 425","5,0",Clínica de Quiropraxia, (47) 99283-0012 · ,http://www.clinicamedicalavie.com.br/,Sonia Damim Quiropraxia,164,True,,,,
"R. 218, 25 - Sala 02","5,0",Terapeuta, (47) 98821-9135 · ,http://www.jardimcristal.com/,Jardim Cristal,165,,True,True,https://www.facebook.com/jardimcristall/,https://instagram.com/jardim.cristal
"R. 246, 371","4,4",Pet Shop, (47) 3366-8974 · ,,Aupatas Clínica Veterinária e Pet Shop,166,,,,,
"Av. Nereu Ramos, 3050","5,0",, (47) 98836-9463 · ,,Pronto Med,167,,,,,
"R. 248, 322 - Sala 6","5,0",Neurologista, (47) 98867-0232 · ,http://neurologistaitajai.com/,Dr Marcelo Zalli Neurologista Itapema,168,,False,True,http://www.facebook.com/CENTROMEDICOMADRID,
"Av. Hironildo Conceição dos Santos, 973","5,0",Centro de saúde e beleza, (47) 99160-5538 · ,http://www.facebook.com/cbelezoterapia,Clínica Belezoterapia,169,,True,True,https://web.facebook.com/cbelezoterapia/services,
