address,classification,details,fone,link,name,position,has_instagram,has_facebook,facebook_link,instagram_link,link_problem
"esq - Av. Nereu Ramos, R. 286, 4874 - sala 04","5,0",Imobiliária, (47) 3268-3130 · ,http://www.imobiliariavogue.com.br/,Imobiliaria Vogue,261,,,,,True
"R. 282, 270 - Sala 07","3,7",Imobiliária, (47) 3368-1004 · ,http://www.bonacorretordeimoveis.com.br/,BONA Thiago A. Da Silva,262,,,,,True
"R. 242, n° 246 - Sala 02","5,0",Consultora de imóveis, (47) 3268-2324 · ,http://www.imobiliariasonhare.com.br/,Sonhare Investimentos Imobiliários,265,,,,,True
R. 282,"4,8",Imobiliária, (47) 3366-6633 · ,,Vanessa Florencio Imoveis,267,,,,,
"R. 274, 111","5,0",Imobiliária, (47) 3368-7868 · ,http://www.girardiimoveis.com.br/,Vitalino Girardi Corretor de Imóveis,268,False,True,https://www.facebook.com/girardiimoveis,,
"Av. Nereu Ramos, nº 5047 - Sala 3","4,9",Imobiliária, (47) 3368-4242 · ,http://tottalimoveis.com.br/,Tottal Imóveis,271,True,True,https://www.facebook.com/tottalimoveis/,https://www.instagram.com/tottalimoveis/?hl=pt-br,
"Av. Nereu Ramos, 4975","5,0",Imobiliária, (47) 3360-8952 · ,http://www.imoveisdiamond.com.br/,Diamond Imóveis,273,,,,,True
"R. 258, Nº 65 - Sala 02","5,0",Imobiliária, (47) 3361-8100 · ,http://www.calebeimoveisitapema.com.br/,CALEBE Investimentos Imobiliários,274,,,,,True
Meia Praia,"5,0",Imobiliária, (47) 99155-7116 · ,http://imoveismontecchio.com.br/,Montecchio imobiliários,275,,,,,True
Ed Imperio do Sol rua 266 nr 26,"5,0",Corretores de imóveis, (47) 99924-1111 · ,http://www.imoveislisboa.com.br/,Adroaldo della giustina Corretor de imoveis,287,,,,,True
"R. 3000, 376","3,6",Imobiliária, (47) 3365-6820 · ,http://www.apolar.com.br/,Apolar Imóveis Balneário Camboriú,288,True,True,https://pt-br.facebook.com/ApolarImoveis ,https://www.instagram.com/apolarimoveis/?hl=pt-br,
"Rua 1500, n° 820 - Sala 2401 - Empresarial Sky Business Centro","4,5",Imobiliária, (47) 2125-6500 · ,https://www.imobillenegocios.com.br/,Apartamentos de Luxo em Balneário Camboriú,289,False,True,,,
"Ciaplan Empresarial - R. 1822, 400 - 1504","4,0",Imobiliária, (47) 3367-6061 · ,http://tvimovel.com.br/,TV Imóvel,290,True,True,https://www.facebook.com/tvimovelbc/,https://www.instagram.com/tvimovel/,
"Av. Brasil, 2565 - sala 01","5,0",Imobiliária, (47) 3367-0908 · ,http://www.getulioimoveis.com.br/,Getúlio Imóveis,291,,,,,True
"R. 258, n501","5,0",Corretores de imóveis, (47) 99615-8252 · ,http://www.concisaimoveis.com.br/,Bruno Kohl Corretor,292,,,,,True
"Av. Nereu Ramos, 3348 - Sala 1","4,4",Corretores de imóveis, (47) 3368-5556 · ,http://www.edemarimoveis.com.br/,Edemar J. Reichert Corretor de Imóveis,293,False,False,,,
"Av. Leopoldo Zarling, 2022","4,4",Imobiliária, (47) 3369-1009 · ,http://www.imobiliariaobjetiva.com.br/,Imobiliária Objetiva,294,True,False,,,
"Avenida Nereu Ramos, esq. c, R. 213","5,0",Corretores de imóveis, (47) 3268-1486 · ,http://www.mbcorretoresdeimoveis.com.br/,MB Corretores de Imóveis,295,,,,,True
