address,classification,details,fone,link,name,position,link_problem,has_instagram,has_facebook,instagram_link,facebook_link
"       R. Sombrio, 107 - São Vicente, Itajaí - SC, 88309-675      ","5,0",Loja de cosmético,       (47) 99785-5185      ,       online.hinode.com.br      ,HINODE SC (maycon Willian Empreendedor),5,True,True,True,https://www.instagram.com/hndoficial/,https://www.facebook.com/Hinode.Cosmeticos.Oficial/
"       R. Lauro Muller, 149 - SALA 12 - Centro, Itajaí - SC, 88301-400      ","4,0",Loja de cosmético,       (47) 3346-2384      ,,Pink and Blue Esmalteria,6,,,,,
"       R. Tijucas, 222 - Centro - Centro, Itajaí - SC, 88301-360      ","5,0",Loja de cosmético,       (47) 99721-4746      ,       lojadaviviunhas.com.br      ,Loja da Vivi,7,True,,,,
"       R. José Pereira Liberato, 1190 - São João, Itajaí - SC, 88304-401      ","4,5",Loja de produtos de beleza,       (47) 3046-6763      ,       boticario.com.br      ,O Boticário,8,True,True,True,https://www.instagram.com/oboticario/,https://www.facebook.com/oboticario/
"       R. Hercílio Luz, 690 - Centro, Itajaí - SC, 88301-001      ","4,5",Loja de produtos de beleza,       (47) 3348-2372      ,       boticario.com.br      ,O Boticário,9,True,True,True,https://www.instagram.com/oboticario/,https://www.facebook.com/oboticario/
"       R. São Miguel, n° 72 - São Vicente, Itajaí - SC, 88309-070      ",,Loja de cosmético,       (47) 99708-1636      ,       natura.com.br      ,DM Revendas,11,True,,,,
"       negociospauloduarte@gmail.com - R. Heitor Liberato, 1053 - Centro, Itajaí - SC, 88304-100      ","2,0",Loja de cosmético,       (47) 98409-8687      ,,PAULO E FABIANA DUARTE - GRUPO HINODE,12,,,,,
"       R. Delfim Mário de Pádua Peixoto, 500 - Balneário Santa Clara, Itajaí - SC, 88306-806      ",,Loja de produtos de beleza,       (47) 3349-4172      ,       boticario.com.br      ,O Boticário,13,True,True,True,https://www.instagram.com/oboticario/,https://www.facebook.com/oboticario/
"       R. Brusque, 358 - Centro, Itajaí - SC, 88303-000      ","3,6",Loja de produtos de beleza,       (47) 3349-4172      ,       boticario.com.br      ,O Boticário,14,True,True,True,https://www.instagram.com/oboticario/,https://www.facebook.com/oboticario/
"       R. Hercília Moser, número 62 - Cordeiros, Itajaí - SC, 88311-021      ","5,0",Loja de cosmético,       (47) 99607-3510      ,,Amanda MDC,15,,,,,
"       R. Estefano José Vanolli, 558 - São Vicente, Itajaí - SC, 88309-200      ","5,0",Perfumaria,       (47) 99141-2510      ,,Le Parfum - Perfumaria e cosméticos Itajaí,16,,,,,
"       Av. Campos Novos, 695 - São Vicente, Itajaí - SC, 88309-650      ","3,0",Perfumaria,       (47) 99113-3227      ,,CASAL DOS PERFUMES ITAJAI,17,,,,,
"       R. São Paulo, 94 - Cordeiros, Itajaí - SC, 88310-190      ","4,4",Perfumaria,       (47) 3246-2336      ,,Ana Cosméticos,18,,,,,
"       Av. João Sacavem, 651 - Centro, Navegantes - SC, 88375-000      ","4,1",Perfumaria,       (47) 3319-2060      ,,Ivys Cosméticos e Perfumaria,19,,,,,
"       R. Rodolfo Francisco Couto, 587 - Centro, Navegantes - SC, 88370-342      ","5,0",Loja de cosmético,       (47) 99933-7039      ,       amanda-make-cia.negocio.site      ,Amanda Make & Cia,1,True,False,False,,
"       R. Tijucas, 222 - Centro, Itajaí - SC, 88301-360      ","5,0",,       (47) 3514-5684      ,       cosmeticosnainternet.com.br      ,NewUP Cosméticos,2,True,,,,
"       Av. Brasil, 360 - 03 - Centro, Balneário Camboriú - SC, 88330-043      ","5,0",Loja de cosmético,       (47) 3514-9918      ,,BALSHOP Cosméticos,3,,,,,
"       R. Hercílio Luz, 201 - Centro, Itajaí - SC, 88301-001      ","5,0",Perfumaria,       (47) 2033-6150      ,       facebook.com      ,Laviér Store - Perfumes Importados e Nacionais,4,True,True,True,,https://web.facebook.com/help/568137493302217
